name,lon_deg,lat_deg,mag
Alnasl,271.261446,-6.991158,2.98
Polis,273.213508,2.342082,3.84
Kaus Media,274.580865,-6.472233,2.72
Kaus Australis,275.078563,-11.051797,1.79
Kaus Borealis,276.317105,-2.135619,2.82
Nunki,282.385321,-3.449516,2.05
Ascella,283.638361,-7.178905,2.60
Meridiana,284.134821,-15.313569,4.11
Vega,285.316169,61.732882,0.03
Arkab Prior,285.775985,-22.144643,3.96
Arkab Posterior,285.830227,-22.497202,4.27
Albaldah,286.251803,1.437075,2.88
Rukbat,286.635761,-18.380151,3.96
Sheliak,288.883698,55.984151,3.52
Okab,289.796010,36.185720,2.99
Sulafat,291.922354,55.012964,3.25
Peacock,293.817457,-36.267622,1.94
Anser,299.507619,45.858328,4.44
Aladfar,300.057713,60.675316,4.43
Tarazed,300.938939,31.243580,2.72
Sham,301.071448,38.792273,4.39
Albireo,301.251652,48.967708,3.05
Altair,301.776408,29.303464,0.76
Alshain,302.423643,26.659160,3.71
Algedi,303.858579,6.930175,3.58
Dabih,304.047403,4.588675,3.05
Albali,311.723194,8.080544,3.78
Aldulfin,314.061012,29.073157,4.03
Alnair,315.906879,-32.913210,1.73
Fawaris,316.249410,64.414086,2.86
Rotanev,316.341327,31.917956,3.64
Sualocin,317.380575,33.022332,3.77
Aldhanab,317.419255,-23.050242,3.00
Nashira,321.790768,-2.557276,3.69
Tiaki,322.327199,-35.432008,2.07
Kitalpha,323.117219,20.121852,3.92
Sadalsuud,323.395082,8.615014,2.90
Deneb Algedi,323.542536,-2.601664,2.85
Sadr,324.841514,57.124408,2.23
Aljanah,327.745415,49.422315,2.48
Enif,331.884921,22.099895,2.38
Ancha,333.263470,2.706861,4.17
Sadalmelik,333.352469,10.661575,2.95
Fomalhaut,333.860151,-21.135570,1.17
Deneb,335.329224,59.906149,1.25
Sadachbia,336.714043,8.235165,3.86
Biham,336.833092,16.340624,3.52
Skat,338.873466,-8.191339,3.27
Wurren,342.379109,-55.131706,3.94
Achernar,345.311133,-59.378076,0.45
Ankaa,345.493643,-40.632989,2.40
Homam,346.151607,17.679471,3.41
Fumalsamakah,348.585398,9.053081,4.48
Markab,353.485601,19.406028,2.49
Sadalbari,354.385879,29.386889,3.51
Matar,355.713228,35.108181,2.93
Scheat,359.374130,31.140539,2.44
